# layout number, AEP
001	6.080589613339711e11
002	6.326119331650626e11
003	6.590722400376187e11
004	6.54921672903285e11
005	6.355866833361909e11
006	6.32939079028509e11
007	5.930710117917362e11
008	6.431201928303716e11
009	NaN
010	6.442181201974261e11
011	5.842729473915292e11
012	6.581316442087511e11
013	6.486916521419375e11
014	6.448518585009807e11
015	6.565619786600065e11
016	6.462738305232516e11
017	6.508463402690428e11
018	6.568010604915194e11
019	6.143657920962296e11
020	6.308241139940376e11
