# layout number, AEP
001	3.544227117331302e11
002	3.9053395092175354e11
003	3.8906401369192365e11
004	3.556892026235342e11
005	3.724980567324451e11
006	3.4861490167350256e11
007	3.8257824042879785e11
008	3.631735637482373e11
009	3.6563012957359686e11
010	3.733454570710158e11
011	3.815473291915423e11
012	3.768158276329565e11
013	3.849654370097769e11
014	3.8039955107192267e11
015	3.4584635792636115e11
016	3.5001581685944354e11
017	3.676698835375251e11
018	3.892334267714304e11
019	3.370773163038065e11
020	3.679037054299331e11
