# layout number, AEP (with NaN values removed)
001	5.818372200547388e11
002	6.570842153260107e11
003	6.3196940386456e11
004	6.641245652778778e11
005	5.931978021684934e11
006	5.948950496921964e11
007	6.544410083279392e11
008	6.518847849342582e11
009	6.311408320441521e11
010	6.481398782317019e11
011	5.892336746082261e11
012	6.24326773436513e11
013	6.295148345285797e11
014	6.207064681054606e11
015	6.193947131025416e11
016	6.2353332220997e11
017	6.616249873015587e11
018	6.283985894902786e11
019	5.929874385200961e11
020	6.115873674116053e11
