x	y
-0.495319693	-0.070805627
-0.462557545	0.097217391
-0.456317136	0.20486445
-0.432915601	-0.004501279
-0.428235294	-0.16113555
-0.386112532	0.13668798
-0.381432225	0.237314578
-0.382992327	-0.087966752
-0.362710997	0.045109974
-0.3642711	-0.312621483
-0.350230179	-0.22884399
-0.347109974	0.338721228
-0.312787724	-0.029774936
-0.312787724	-0.148966752
-0.297186701	0.152757033
-0.295626598	0.243554987
-0.269104859	0.070383632
-0.265984655	-0.354276215
-0.26286445	0.334976982
-0.264424552	-0.267768542
-0.245703325	-0.435089514
-0.24258312	-0.077436061
-0.231662404	-0.180168798
-0.209820972	0.00829156
-0.203580563	0.221089514
-0.200460358	0.417974425
-0.195780051	0.135907928
-0.178618926	0.305959079
-0.175498721	-0.276895141
-0.166138107	-0.367069054
-0.150537084	-0.087186701
-0.145856777	-0.174162404
-0.138056266	0.056654731
-0.134936061	-0.446322251
-0.124015345	0.380583973
-0.114654731	0.486150895
-0.108414322	0.15423913
-0.102173913	0.243554987
-0.095933504	-0.017372123
-0.091253197	-0.254117647
-0.075652174	-0.349595908
-0.060051151	-0.116516624
-0.058491049	0.317659847
-0.044450128	0.438255754
-0.031969309	0.117186701
-0.033529412	-0.426898977
-0.027289003	0.024360614
-0.0257289	-0.193585678
-0.010127877	0.219217391
0.002352941	-0.305601023
0.003913043	-0.06261509
0.013273657	0.370703325
0.027314578	-0.498741688
0.04915601	0.283493606
0.04915601	0.158373402
0.04915601	0.064455243
0.052276215	-0.237892583
0.052276215	-0.381421995
0.055396419	0.473826087
0.066317136	-0.143350384
0.091278772	-0.058324808
0.103759591	0.401905371
0.117800512	-0.317769821
0.120920716	-0.435089514
0.124040921	0.216409207
0.128721228	0.317659847
0.131841432	0.048542199
0.152122762	-0.151150895
0.152122762	-0.237892583
0.153682864	0.131227621
0.164603581	0.471017903
0.177084399	-0.038823529
0.192685422	-0.363324808
0.197365729	-0.458491049
0.203606138	0.406195652
0.208286445	0.230450128
0.220767263	0.32
0.230127877	0.031381074
0.234808184	-0.109418159
0.239488491	-0.280639386
0.242608696	0.127795396
0.253529412	-0.192883632
0.276930946	-0.385478261
0.294092072	0.208712702
0.295652174	-0.024782609
0.315933504	0.386304348
0.315933504	0.293868286
0.317493606	0.087232737
0.323734015	-0.293120205
0.334654731	-0.103567775
0.345575448	-0.19514578
0.373657289	0.158061381
0.378337596	0.018900256
0.403299233	0.238484655
0.411099744	-0.280327366
0.415780051	-0.068465473
0.426700767	-0.171432225
0.439181586	0.081304348
0.473503836	0.156189258
0.48286445	-0.015421995
