# layout number, AEP (with NaN values removed)
001	1.4420130618639966e11
002	1.4421661000848248e11
003	1.4420031122638733e11
004	1.4421660780389157e11
005	1.442051347668247e11
006	1.4420701225596045e11
007	1.4422151822068225e11
008	1.442166060100901e11
009	1.4422205079789093e11
010	1.442053565975895e11
011	1.4422005476409763e11
012	1.4421660619389062e11
013	1.442166069890271e11
014	1.4421650410936404e11
015	1.4419884401190015e11
016	1.4420272634668613e11
017	1.4422149493660236e11
018	1.4417986429109344e11
019	1.442247213455136e11
020	1.4422008009029227e11
021	1.4419815928239185e11
022	1.4420789951951328e11
023	1.4415166137023407e11
024	1.4420593226246024e11
025	1.4422179260330325e11
026	1.4422472134463345e11
027	1.4420157365144266e11
028	1.4422007759755228e11
029	1.4422002122282977e11
030	1.442071278161326e11
031	1.4420513573898196e11
032	1.441857722001789e11
033	1.442053570155275e11
034	1.441517374062793e11
035	1.4422482731020715e11
036	1.4422186614977167e11
037	1.4419140128122406e11
038	1.442071582516462e11
039	1.4419246916965878e11
040	1.4421690635293768e11
041	1.4420789023502853e11
042	1.442221757180497e11
043	1.4422499068269724e11
044	1.4420031877251212e11
045	1.4418805661899634e11
046	1.4421666587830112e11
047	1.4420711775422528e11
048	1.4420570325530164e11
049	1.4420535576924918e11
050	1.4420514163440714e11
