# layout number, AEP
001	8.065202427950095e10
002	8.06385320753109e10
003	8.054210398546085e10
004	8.065451624804498e10
005	8.065202427950092e10
006	8.06662785545302e10
007	8.06604123402243e10
008	8.056522104891594e10
009	8.058582651222572e10
010	8.056667235256487e10
011	8.058582650879883e10
012	8.06604123402243e10
013	8.058582650882019e10
014	8.062648901231529e10
015	8.063447522612018e10
016	8.063988698765419e10
017	8.066112391637224e10
018	8.065202427950063e10
019	8.060887460976938e10
020	8.054210398545949e10
021	8.066041234022432e10
022	8.065202427950095e10
023	8.058180555696188e10
024	8.066041234022429e10
025	8.056667235256485e10
026	8.05858265053129e10
027	8.056667235256485e10
028	8.058582650861537e10
029	8.056667235256487e10
030	8.063853207531087e10
031	8.054210398545947e10
032	8.066041234022433e10
033	8.056667235256487e10
034	8.056522104891592e10
035	8.061272912531415e10
036	8.058582650768994e10
037	8.066112391637227e10
038	8.056667235256485e10
039	8.066041234022432e10
040	8.063447522612024e10
041	8.051635128195183e10
042	8.056522104891592e10
043	8.062799857286644e10
044	8.065451624804498e10
045	8.065886040667206e10
046	8.048554201242775e10
047	8.065886040667206e10
048	8.066041234022437e10
049	8.056667235256485e10
050	8.056667235256487e10
051	8.06648291028146e10
052	8.056522104891592e10
053	8.035986517620712e10
054	8.06606417853901e10
055	8.063447522612125e10
056	8.06329857059185e10
057	8.066064178539012e10
058	8.062648901231529e10
059	8.066041234022433e10
060	8.056522104891592e10
061	8.066064178539012e10
062	8.065451624804498e10
063	8.065886040667206e10
064	8.058180555693376e10
065	8.065202427950063e10
066	8.035985346597206e10
067	8.056667235256485e10
068	8.066112391637224e10
069	8.056667235256487e10
070	8.058582650529251e10
071	8.065438564802287e10
072	8.056667235256483e10
073	8.066064178539012e10
074	8.0359865176207e10
075	8.066112391637225e10
076	8.06398869876542e10
077	8.048554201240285e10
078	8.056667235256483e10
079	8.06377306367355e10
080	8.035986517620807e10
081	8.035986517620766e10
082	8.066041234022433e10
083	8.058582650636351e10
084	8.058582650860095e10
085	8.035985346618336e10
086	8.066112391637224e10
087	8.066041234022433e10
088	8.066112391637224e10
089	8.061272912531415e10
090	8.058582650919376e10
091	8.056667235256487e10
092	8.058180555691243e10
093	8.06606417853901e10
094	8.058582650418736e10
095	8.035985346600075e10
096	8.056667235256485e10
097	8.065202427950093e10
098	8.061631474916286e10
099	8.065886040667206e10
100	8.056667235256485e10
