# layout number, AEP (with NaN values removed)
001	3.743749111610767e11
002	3.3246368643851117e11
003	3.8053309891067224e11
004	3.8443669917090393e11
005	3.949393455922673e11
006	3.8528468609572864e11
007	3.700108311185898e11
008	3.668209351972955e11
010	3.5394350865326587e11
011	3.434163442614154e11
012	3.536324511516138e11
013	3.8302235277999194e11
014	3.150405714054798e11
015	3.853693935781301e11
016	3.791461217636761e11
017	3.866905640707222e11
018	3.5869111931090784e11
019	3.778785720332541e11
020	3.3889321946998975e11
